,ativador,solv,camadas,rsquared_teste,rmse_teste,rsquared_treino,rmse_treino
0,identity,lbfgs,2,0.5004457738906407,0.14941247086733786,0.4723083078357112,0.15386353179703677
1,identity,lbfgs,3,0.49988131192482677,0.14949685995077105,0.4723256302687826,0.15386100635211802
2,identity,lbfgs,4,0.5003947802897473,0.14942009655148195,0.47232720086672675,0.1538607773719231
3,identity,lbfgs,5,0.49914999743220456,0.14960612329620315,0.4722460371404993,0.15387260992598276
4,identity,lbfgs,6,0.5000178096346434,0.14947645742229243,0.4723287933703225,0.15386054519771733
5,identity,lbfgs,7,0.49961300683906973,0.1495369558225549,0.4723128063588867,0.15386287595940554
6,identity,lbfgs,8,0.5006613870196406,0.14938022334991066,0.4722960694346776,0.15386531601376466
7,identity,lbfgs,9,0.5001392910603031,0.1494582970591429,0.4723286131211396,0.15386057147661492
8,identity,lbfgs,"[4, 2]",0.4974740169354749,0.14985622565743859,0.4721028967789116,0.1538934756032814
9,identity,lbfgs,"[5, 2]",0.49816540598790016,0.14975310201916142,0.47205883712116414,0.1538998976430594
10,identity,lbfgs,"[6, 2]",0.5003874747737908,0.14942118900094611,0.47224627650810347,0.15387257503081878
11,identity,lbfgs,"[2, 1]",0.4988488114084454,0.149651099338047,0.47224379746768463,0.1538729364265493
12,identity,lbfgs,"[2, 2]",0.5060274898567807,0.14857540391061833,0.4633644125155475,0.1551619766679332
13,identity,lbfgs,"[2, 3]",0.5001591196378904,0.14945533265848437,0.47181842652208505,0.15393493464910984
14,identity,lbfgs,"[2, 4]",0.4990374595852961,0.14962293012985042,0.4722449968095238,0.1538727615860126
15,identity,lbfgs,"[2, 5]",0.4981343693918472,0.14975773278269391,0.47159729198366573,0.15396715535714517
16,identity,lbfgs,"[2, 6]",0.4990181578125519,0.1496258125409532,0.4722811841459452,0.1538674860880915
17,identity,lbfgs,"[3, 1]",0.49915847235439736,0.14960485754237307,0.4723007530156689,0.15386463320449742
18,identity,lbfgs,"[3, 2]",0.49955268704605893,0.14954596861318428,0.4722388419306961,0.15387365884462262
